Bug ID,Mutation Score,Condition Coverage,Bug Present
1,47.826087,62.5,TRUE
1,52.173913,62.5,FALSE
2,29.1390728,39.375,TRUE
2,30.1302932,40.8156028,FALSE
3,28.3018868,75,TRUE
3,41.509434,75,FALSE
4,39.6226415,77.7777778,TRUE
4,41.509434,77.7777778,FALSE
5,62.7296588,82.3529412,TRUE
5,61.4583333,82.4817518,FALSE
6,33.1010453,73.4042553,TRUE
6,69.10299,71.9387755,FALSE
7,29.9674267,40.8156028,TRUE
7,30.9178744,41.7013889,FALSE
8,53.6585366,78.3333333,TRUE
8,55.5555556,79.4117647,FALSE
9,66.6666667,100,TRUE
9,71.4285714,100,FALSE
10,80.2083333,89.0243902,TRUE
10,80.3030303,89.5348837,FALSE
11,58.4507042,71.7171717,TRUE
11,60.4895105,72.2222222,FALSE
12,57.9710145,73.943662,TRUE
12,57.1428571,74.6575342,FALSE
13,51.8518519,73.5294118,TRUE
13,62.5,73.6111111,FALSE
14,30.1204819,42,TRUE
14,29.4117647,39.6103896,FALSE
15,63.4266886,76.4957265,TRUE
15,62.6182965,74.8987854,FALSE
16,59.6153846,72.2222222,TRUE
16,59.6153846,72.2222222,FALSE
17,51.0324484,58.9473684,TRUE
17,51.6224189,59.4736842,FALSE
18,61.7021277,85.2941176,TRUE
18,50.7462687,82.3461538,FALSE
19,43.7325905,68.2608696,TRUE
19,56.1111111,68.5344828,FALSE
20,74.7368421,77.3809524,TRUE
20,74.7368421,77.3809524,FALSE
21,70.9401709,90,TRUE
21,70,89.047619,FALSE
22,65.5737705,81.5343137,TRUE
22,63.9278557,81.5857143,FALSE
23,55,60,TRUE
23,55.3191489,54.5454545,FALSE
24,6.66666667,65.3846154,TRUE
24,0,62.5,FALSE
25,59.5701126,78.0519481,TRUE
25,58.3418628,78.0519481,FALSE
26,43.258427,60.1351351,TRUE
26,44.9438202,62.1621622,FALSE
27,45.5223881,62.2685185,TRUE
27,50,62.2685185,FALSE
28,57.1428571,83.3333333,TRUE
28,50,78.5714286,FALSE
29,26.6666667,67.7419355,TRUE
29,61.1111111,68.1818182,FALSE
30,39.147671,50.1732283,TRUE
30,39.0625,49.9147287,FALSE
31,28.2962963,42.8987342,TRUE
31,31.3131313,43.0740741,FALSE
32,31.6326531,50.2631579,TRUE
32,39.8989899,50.2982456,FALSE
33,66.6666667,85.7037037,TRUE
33,66.2921348,86.0144928,FALSE
34,30.4347826,41.6666667,TRUE
34,47.826087,41.6666667,FALSE
35,63.1578947,62.5,TRUE
35,65,61.1111111,FALSE
36,57.9387187,60.2459016,TRUE
36,60.7142857,63.0952381,FALSE
37,28.125,59.375,TRUE
37,28.125,59.375,FALSE
38,32.0512821,73.8095238,TRUE
38,34.6534653,70.3703704,FALSE
39,0,0,TRUE
39,50,62.5,FALSE
40,58.3333333,78.6666667,TRUE
40,68.3823529,79.3548387,FALSE
41,60.5150215,86.9433962,TRUE
41,59.1489362,85.7962963,FALSE
42,28.4722222,82.1176471,TRUE
42,71.4285714,81.2,FALSE
43,66.6666667,66.6666667,TRUE
43,71.4285714,66.6666667,FALSE
44,29.4117647,69.4444444,TRUE
44,30.3797468,68,FALSE
45,6.81818182,53.125,TRUE
45,41.0714286,63.1578947,FALSE
46,15.3846154,22.7272727,TRUE
46,28.2051282,22.7272727,FALSE
47,40.3225806,79.5454545,TRUE
47,55.2238806,81.25,FALSE
48,22.8962818,36.6141732,TRUE
48,22.5621415,38.5496183,FALSE
49,76,75,TRUE
49,76.9230769,78.5714286,FALSE
50,49.8194946,61.3035714,TRUE
50,50.877193,61.8782609,FALSE
51,56.097561,67.6470588,TRUE
51,55.8139535,69.4444444,FALSE
52,55.0724638,65.281106,TRUE
52,56.25,66.0547945,FALSE
53,50.5070994,80.0348837,TRUE
53,47.5915222,78.741573,FALSE
54,69.0140845,76.5625,TRUE
54,70.4225352,75,FALSE
55,41.4634146,77.0588235,TRUE
55,47.826087,71.6666667,FALSE
56,27.89115646,78.34285714,TRUE
56,72.39263804,82.68421053,FALSE
57,28.27225131,43.58974359,TRUE
57,31.41361257,43.58974359,FALSE
58,63.33333333,80.10204082,TRUE
58,76.1682243,80.5,FALSE
59,50.60532688,75.42307692,TRUE
59,50.46728972,75.85454545,FALSE
60,23.80952381,47.2972973,TRUE
60,25,47.2972973,FALSE
61,59.45945946,65.85217391,TRUE
61,59.68169761,66.72033898,FALSE
62,62.24489796,77.14285714,TRUE
62,62.74509804,77.02702703,FALSE
63,21.42857143,79.54545455,TRUE
63,41.55844156,80.43478261,FALSE
64,60,80.88235294,TRUE
64,68.29268293,78.57142857,FALSE
66,20.73170732,59.775,TRUE
66,22.61904762,59.775,FALSE
67,59.23566879,77.45098039,TRUE
67,65.13994911,77.45098039,FALSE
68,60.13986014,65.0326087,TRUE
68,53.47222222,65.30434783,FALSE
69,60.9929078,81.42857143,TRUE
69,61.9047619,80.26315789,FALSE
70,69.23076923,66.66666667,TRUE
70,70.6,65.94202899,FALSE
71,14.63414634,59.775,TRUE
71,24.41860465,61.97560976,FALSE
72,36.36363636,20,TRUE
72,36.36363636,20,FALSE
73,72.29050279,85.43417367,TRUE
73,66,85.51532033,FALSE
74,74.28571429,87.5,TRUE
74,77.5,86.84210526,FALSE
75,30.18867925,60,TRUE
75,43.39622642,60,FALSE
76,12.18274112,27.16049383,TRUE
76,20.32085561,25.64102564,FALSE
77,76.60550459,80.1980198,TRUE
77,76.23318386,80.09708738,FALSE
78,76.36363636,80.95238095,TRUE
78,60.34482759,81.13207547,FALSE
79,63.06451613,79.05797101,TRUE
79,62.92134831,79.20863309,FALSE
80,75,91.02564103,TRUE
80,79.48717949,90.24390244,FALSE
81,60.75581395,79.66850829,TRUE
81,58.99470899,77.68041237,FALSE
82,73.81974249,81.13207547,TRUE
82,60.08583691,81.13207547,FALSE
83,70.3030303,86.63157895,TRUE
83,70.73170732,83.56756757,FALSE
84,14.28571429,21.42857143,TRUE
84,13.63636364,25,FALSE
85,23.21428571,60.52631579,TRUE
85,32.3943662,61.11111111,FALSE
86,9.523809524,21.42857143,TRUE
86,13.63636364,25,FALSE
87,29.04109589,66.796875,TRUE
87,61.47540984,66.796875,FALSE
88,38.46153846,76.92307692,TRUE
88,41.46341463,78.57142857,FALSE
90,55.64516129,63.46153846,TRUE
90,48.75,58.06451613,FALSE
91,72.72727273,78.68852459,TRUE
91,73.64864865,79.36507937,FALSE
92,77.05627706,80.39215686,TRUE
92,78.48101266,80.39215686,FALSE
93,8,90,TRUE
93,28.125,85.71428571,FALSE
94,3.333333333,85.71428571,TRUE
94,38.23529412,83.33333333,FALSE
95,67.62820513,84.56296296,TRUE
95,69.87179487,83.82222222,FALSE
96,61.67664671,76.14379085,TRUE
96,61.55688623,76.14379085,FALSE
97,47.05882353,70.58823529,TRUE
97,47.05882353,70.58823529,FALSE
98,64.1025641,77.17391304,TRUE
98,63.75,77.65957447,FALSE
99,27.27272727,50,TRUE
99,41.17647059,50,FALSE
100,53.7037037,62.82051282,TRUE
100,57.14285714,67.56756757,FALSE
101,50.16393443,70.47107438,TRUE
101,56.8627451,70.30327869,FALSE
102,49.15254237,78.84615385,TRUE
102,51.72413793,78,FALSE
103,58.87432043,72.46752205,TRUE
103,58.9382795,72.48958333,FALSE
104,71.96110211,81.33333333,TRUE
104,78.82534776,82.5,FALSE
105,77.77777778,91.66666667,TRUE
105,80,92.85714286,FALSE
106,36.19047619,67.56756757,TRUE
106,58.55855856,67.94871795,FALSE
107,59.52380952,75,TRUE
107,61.9047619,75,FALSE
108,38.60465116,61.53846154,TRUE
108,40.969163,60.82474227,FALSE
109,73.01587302,87.5,TRUE
109,67.07317073,82.69230769,FALSE
110,28,90,TRUE
110,74.07407407,90.90909091,FALSE
111,41.93548387,58.5106383,TRUE
111,41.53846154,55.66037736,FALSE
112,49.27536232,60.34482759,TRUE
112,52.11267606,63.33333333,FALSE
